2025-10-18 05:52:31 http://58.19.133.216:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:33 http://101.66.195.101:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:37 http://112.99.193.34:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:40 http://183.131.246.250:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:48 http://101.66.199.152:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:49 http://101.66.199.67:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:53:14 http://113.195.162.70:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：80 个 , 总频道：333 个 , 总进度：24.02%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：81 个 , 总频道：333 个 , 总进度：24.32%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：82 个 , 总频道：333 个 , 总进度：24.62%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：83 个 , 总频道：333 个 , 总进度：24.92%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：84 个 , 总频道：333 个 , 总进度：25.23%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：85 个 , 总频道：333 个 , 总进度：25.53%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：86 个 , 总频道：333 个 , 总进度：25.83%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：87 个 , 总频道：333 个 , 总进度：26.13%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：88 个 , 总频道：333 个 , 总进度：26.43%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：89 个 , 总频道：333 个 , 总进度：26.73%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：90 个 , 总频道：333 个 , 总进度：27.03%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：91 个 , 总频道：333 个 , 总进度：27.33%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：92 个 , 总频道：333 个 , 总进度：27.63%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：93 个 , 总频道：333 个 , 总进度：27.93%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：94 个 , 总频道：333 个 , 总进度：28.23%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：95 个 , 总频道：333 个 , 总进度：28.53%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：96 个 , 总频道：333 个 , 总进度：28.83%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：97 个 , 总频道：333 个 , 总进度：29.13%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：98 个 , 总频道：333 个 , 总进度：29.43%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：99 个 , 总频道：333 个 , 总进度：29.73%
2025-10-18 05:53:32 可用频道：0 个 , 不可用频道：100 个 , 总频道：333 个 , 总进度：30.03%
2025-10-18 05:53:32 可用频道：0 个 , 不可用频道：101 个 , 总频道：333 个 , 总进度：30.33%
2025-10-18 05:53:32 可用频道：0 个 , 不可用频道：102 个 , 总频道：333 个 , 总进度：30.63%
2025-10-18 05:53:32 可用频道：0 个 , 不可用频道：103 个 , 总频道：333 个 , 总进度：30.93%
2025-10-18 05:53:32 可用频道：0 个 , 不可用频道：104 个 , 总频道：333 个 , 总进度：31.23%
2025-10-18 05:53:32 可用频道：0 个 , 不可用频道：105 个 , 总频道：333 个 , 总进度：31.53%
2025-10-18 05:53:32 可用频道：0 个 , 不可用频道：106 个 , 总频道：333 个 , 总进度：31.83%
2025-10-18 05:53:32 可用频道：0 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：32.13%
2025-10-18 05:53:33 可用频道：1 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：32.43% - CCTV2: 0.0002 MB/s
2025-10-18 05:53:33 可用频道：2 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：32.73% - CCTV1: 0.0002 MB/s
2025-10-18 05:53:34 可用频道：3 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：33.03% - CCTV7: 0.0002 MB/s
2025-10-18 05:53:34 可用频道：4 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：33.33% - CCTV9: 0.0002 MB/s
2025-10-18 05:53:34 可用频道：5 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：33.63% - CCTV3: 0.0002 MB/s
2025-10-18 05:53:34 可用频道：6 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：33.93% - CCTV4: 0.0002 MB/s
2025-10-18 05:53:35 可用频道：7 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：34.23% - CCTV11: 0.0002 MB/s
2025-10-18 05:53:35 可用频道：8 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：34.53% - CCTV12: 0.0002 MB/s
2025-10-18 05:53:35 可用频道：9 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：34.83% - CCTV8: 0.0001 MB/s
2025-10-18 05:53:35 可用频道：10 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：35.14% - CCTV6: 0.0002 MB/s
2025-10-18 05:53:35 可用频道：11 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：35.44% - CCTV10: 0.0002 MB/s
2025-10-18 05:53:36 可用频道：12 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：35.74% - CCTV5: 0.0001 MB/s
2025-10-18 05:53:37 可用频道：13 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：36.04% - CCTV13: 0.0002 MB/s
2025-10-18 05:53:37 可用频道：14 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：36.34% - 东方卫视: 0.0002 MB/s
2025-10-18 05:53:37 可用频道：15 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：36.64% - CCTV15: 0.0001 MB/s
2025-10-18 05:53:38 可用频道：16 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：36.94% - 江苏卫视: 0.0001 MB/s
2025-10-18 05:53:38 可用频道：17 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：37.24% - CCTV14: 0.0001 MB/s
2025-10-18 05:53:38 可用频道：18 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：37.54% - 安徽卫视: 0.0002 MB/s
2025-10-18 05:53:38 可用频道：19 个 , 不可用频道：107 个 , 总频道：333 个 , 总进度：37.84% - 广东卫视: 0.0002 MB/s
2025-10-18 05:53:38 可用频道：19 个 , 不可用频道：108 个 , 总频道：333 个 , 总进度：38.14%
2025-10-18 05:53:39 可用频道：20 个 , 不可用频道：108 个 , 总频道：333 个 , 总进度：38.44% - 湖南卫视: 0.0001 MB/s
2025-10-18 05:53:41 可用频道：20 个 , 不可用频道：109 个 , 总频道：333 个 , 总进度：38.74%
2025-10-18 05:53:41 可用频道：20 个 , 不可用频道：110 个 , 总频道：333 个 , 总进度：39.04%
2025-10-18 05:53:41 可用频道：20 个 , 不可用频道：111 个 , 总频道：333 个 , 总进度：39.34%
2025-10-18 05:53:41 可用频道：20 个 , 不可用频道：112 个 , 总频道：333 个 , 总进度：39.64%
2025-10-18 05:53:41 可用频道：20 个 , 不可用频道：113 个 , 总频道：333 个 , 总进度：39.94%
2025-10-18 05:53:41 可用频道：20 个 , 不可用频道：114 个 , 总频道：333 个 , 总进度：40.24%
2025-10-18 05:53:42 可用频道：20 个 , 不可用频道：115 个 , 总频道：333 个 , 总进度：40.54%
2025-10-18 05:53:42 可用频道：20 个 , 不可用频道：116 个 , 总频道：333 个 , 总进度：40.84%
2025-10-18 05:53:42 可用频道：20 个 , 不可用频道：117 个 , 总频道：333 个 , 总进度：41.14%
2025-10-18 05:53:42 可用频道：20 个 , 不可用频道：118 个 , 总频道：333 个 , 总进度：41.44%
2025-10-18 05:53:43 可用频道：20 个 , 不可用频道：119 个 , 总频道：333 个 , 总进度：41.74%
2025-10-18 05:53:43 可用频道：20 个 , 不可用频道：120 个 , 总频道：333 个 , 总进度：42.04%
2025-10-18 05:53:43 可用频道：20 个 , 不可用频道：121 个 , 总频道：333 个 , 总进度：42.34%
2025-10-18 05:53:43 可用频道：20 个 , 不可用频道：122 个 , 总频道：333 个 , 总进度：42.64%
2025-10-18 05:53:43 可用频道：20 个 , 不可用频道：123 个 , 总频道：333 个 , 总进度：42.94%
